sg,sr,sg,dg,dr,dc,color,value
2,0,1,2,0,7,g,0.594221
3,0,1,3,0,7,g,0.828937
4,0,1,4,0,7,g,0.496495
5,0,1,5,0,7,g,0.379222
6,0,1,6,0,7,g,0.481322
7,0,1,7,0,7,g,0.382606
8,0,1,8,0,7,g,0.835288
9,0,1,9,0,7,g,0.537232
10,0,1,10,0,7,g,0.721743
11,0,1,11,0,7,g,0.860829
12,0,1,12,0,7,g,0.616764
13,0,1,13,0,7,g,0.636431
14,0,1,14,0,7,g,0.679322
0,0,1,0,0,8,g,0.622312
1,0,1,1,0,8,g,0.534059
2,0,1,2,0,8,g,0.559630
3,0,1,3,0,8,g,0.665111
4,0,1,4,0,8,g,0.462012
5,0,1,5,0,8,g,0.871072
6,0,1,6,0,8,g,0.772655
7,0,1,7,0,8,g,0.523211
8,0,1,8,0,8,g,0.548789
9,0,1,9,0,8,g,0.695457
10,0,1,10,0,8,g,0.504659
11,0,1,11,0,8,g,0.603133
12,0,1,12,0,8,g,0.604441
13,0,1,13,0,8,g,0.506027
14,0,1,14,0,8,g,0.594944
0,0,1,0,0,9,g,0.606763
1,0,1,1,0,9,g,0.617379
2,0,1,2,0,9,g,0.379537
3,0,1,3,0,9,g,0.701273
4,0,1,4,0,9,g,0.483169
5,0,1,5,0,9,g,0.512917
6,0,1,6,0,9,g,0.693877
7,0,1,7,0,9,g,0.637258
8,0,1,8,0,9,g,0.810812
9,0,1,9,0,9,g,0.431932
10,0,1,10,0,9,g,0.515954
11,0,1,11,0,9,g,0.638280
12,0,1,12,0,9,g,0.400234
13,0,1,13,0,9,g,0.665937
14,0,1,14,0,9,g,0.366153
0,0,1,0,0,10,g,0.646606
1,0,1,1,0,10,g,0.636213
2,0,1,2,0,10,g,0.576719
3,0,1,3,0,10,g,0.526172
4,0,1,4,0,10,g,0.409970
5,0,1,5,0,10,g,0.501767
6,0,1,6,0,10,g,0.507215
7,0,1,7,0,10,g,0.497788
8,0,1,8,0,10,g,0.703650
9,0,1,9,0,10,g,0.462742
10,0,1,10,0,10,g,0.694510
11,0,1,11,0,10,g,0.482545
12,0,1,12,0,10,g,0.714511
13,0,1,13,0,10,g,0.953329
14,0,1,14,0,10,g,0.589464
0,0,1,0,0,11,g,0.620543
1,0,1,1,0,11,g,0.630420
2,0,1,2,0,11,g,0.576865
3,0,1,3,0,11,g,0.430636
4,0,1,4,0,11,g,0.705775
5,0,1,5,0,11,g,0.547364
6,0,1,6,0,11,g,0.694002
7,0,1,7,0,11,g,0.616784
8,0,1,8,0,11,g,0.510558
9,0,1,9,0,11,g,0.536280
10,0,1,10,0,11,g,0.402846
11,0,1,11,0,11,g,0.502928
12,0,1,12,0,11,g,0.493317
13,0,1,13,0,11,g,0.487117
14,0,1,14,0,11,g,0.605944
0,0,1,0,0,12,g,0.311005
1,0,1,1,0,12,g,0.446760
2,0,1,2,0,12,g,0.394478
3,0,1,3,0,12,g,0.592256
4,0,1,4,0,12,g,0.446036
5,0,1,5,0,12,g,0.387960
6,0,1,6,0,12,g,0.323787
7,0,1,7,0,12,g,0.323962
8,0,1,8,0,12,g,0.506492
9,0,1,9,0,12,g,0.440052
10,0,1,10,0,12,g,0.356617
11,0,1,11,0,12,g,0.335690
12,0,1,12,0,12,g,0.501108
13,0,1,13,0,12,g,0.475156
14,0,1,14,0,12,g,0.284951
0,0,1,0,0,13,g,0.463035
1,0,1,1,0,13,g,0.518221
2,0,1,2,0,13,g,0.541750
3,0,1,3,0,13,g,0.612064
4,0,1,4,0,13,g,0.604863
5,0,1,5,0,13,g,0.432551
6,0,1,6,0,13,g,0.726868
7,0,1,7,0,13,g,0.531391
8,0,1,8,0,13,g,0.647593
9,0,1,9,0,13,g,0.764745
10,0,1,10,0,13,g,0.453724
11,0,1,11,0,13,g,0.293856
12,0,1,12,0,13,g,0.441739
13,0,1,13,0,13,g,0.523966
14,0,1,14,0,13,g,0.378587
0,0,1,0,0,14,g,0.403157
1,0,1,1,0,14,g,0.664967
2,0,1,2,0,14,g,0.342194
3,0,1,3,0,14,g,0.490640
4,0,1,4,0,14,g,0.354476
5,0,1,5,0,14,g,0.512111
6,0,1,6,0,14,g,0.308044
7,0,1,7,0,14,g,0.403295
8,0,1,8,0,14,g,0.317204
9,0,1,9,0,14,g,0.397350
10,0,1,10,0,14,g,0.513917
11,0,1,11,0,14,g,0.309205
12,0,1,12,0,14,g,0.567838
13,0,1,13,0,14,g,0.480877
14,0,1,14,0,14,g,0.326691
0,0,1,0,0,15,g,0.656976
1,0,1,1,0,15,g,0.517107
2,0,1,2,0,15,g,0.369260
3,0,1,3,0,15,g,0.501008
4,0,1,4,0,15,g,0.503129
5,0,1,5,0,15,g,0.444555
6,0,1,6,0,15,g,0.525367
7,0,1,7,0,15,g,0.380761
8,0,1,8,0,15,g,0.567874
9,0,1,9,0,15,g,0.456549
10,0,1,10,0,15,g,0.358405
11,0,1,11,0,15,g,0.784988
12,0,1,12,0,15,g,0.474559
13,0,1,13,0,15,g,0.601497
14,0,1,14,0,15,g,0.370652
0,0,1,0,1,1,k,0.509865
1,0,1,1,1,1,k,0.498272
2,0,1,2,1,1,k,0.477804
3,0,1,3,1,1,k,0.561740
4,0,1,4,1,1,k,0.485420
5,0,1,5,1,1,k,0.492509
6,0,1,6,1,1,k,0.392756
7,0,1,7,1,1,k,0.438891
8,0,1,8,1,1,k,0.521744
9,0,1,9,1,1,k,0.477939
10,0,1,10,1,1,k,0.481261
11,0,1,11,1,1,k,0.483501
12,0,1,12,1,1,k,0.497028
13,0,1,13,1,1,k,0.476194
14,0,1,14,1,1,k,0.528339
0,0,1,0,1,1,k,0.532543
1,0,1,1,1,1,k,0.488255
2,0,1,2,1,1,k,0.475344
3,0,1,3,1,1,k,0.559766
4,0,1,4,1,1,k,0.497416
5,0,1,5,1,1,k,0.490866
6,0,1,6,1,1,k,0.377493
7,0,1,7,1,1,k,0.440259
8,0,1,8,1,1,k,0.510856
9,0,1,9,1,1,k,0.480650
10,0,1,10,1,1,k,0.481454
11,0,1,11,1,1,k,0.473860
12,0,1,12,1,1,k,0.477695
13,0,1,13,1,1,k,0.470831
14,0,1,14,1,1,k,0.512784
0,0,1,0,1,1,k,0.521645
1,0,1,1,1,1,k,0.488186
2,0,1,2,1,1,k,0.470669
3,0,1,3,1,1,k,0.559866
4,0,1,4,1,1,k,0.478964
5,0,1,5,1,1,k,0.490638
6,0,1,6,1,1,k,0.391799
7,0,1,7,1,1,k,0.454549
8,0,1,8,1,1,k,0.514914
9,0,1,9,1,1,k,0.488469
10,0,1,10,1,1,k,0.471673
11,0,1,11,1,1,k,0.458137
12,0,1,12,1,1,k,0.492350
13,0,1,13,1,1,k,0.461239
14,0,1,14,1,1,k,0.496036
0,0,1,0,2,1,k,0.640589
1,0,1,1,2,1,k,0.578215
2,0,1,2,2,1,k,0.557617
3,0,1,3,2,1,k,0.500271
4,0,1,4,2,1,k,0.466799
5,0,1,5,2,1,k,0.503038
6,0,1,6,2,1,k,0.416003
7,0,1,7,2,1,k,0.450255
8,0,1,8,2,1,k,0.497023
9,0,1,9,2,1,k,0.536164
10,0,1,10,2,1,k,0.471893
