sg,sr,sc,dg,dr,dc,color,bytes,job0,job1,job2,job3,job4,job5,job6,job7
6,2,9,6,2,12,g,186.294716,0.000000,0.000000,0.016981,168.702583,15.237129,0.017427,1.540106,0.780490
7,2,9,7,2,12,g,161.704205,0.000000,0.000000,0.007912,132.971727,11.362393,0.008164,0.996222,16.357788
8,2,9,8,2,12,g,29.723913,0.000000,0.000000,0.011182,2.966939,12.448098,6.704842,2.504203,5.088649
9,2,9,9,2,12,g,92.396838,0.000000,0.000000,0.004427,0.000000,49.442585,0.000000,0.000000,42.949827
10,2,9,10,2,12,g,166.732986,0.000000,0.000000,0.008730,0.130102,164.510850,0.003219,0.000000,2.080084
11,2,9,11,2,12,g,208.654752,0.000000,0.000000,0.112358,0.693483,204.810604,0.017371,0.000000,3.020936
12,2,9,12,2,12,g,8.572808,0.000000,0.000000,2.007973,0.381794,4.228534,0.006936,0.000000,1.947571
13,2,9,13,2,12,g,19.644675,0.000000,0.000000,1.332263,0.599372,15.042268,0.025089,0.000000,2.645683
14,2,9,14,2,12,g,25.230329,0.000000,0.000000,0.051144,0.342854,17.876821,4.226604,0.000000,2.732906
15,2,9,15,2,12,g,18.839985,0.026199,0.025438,0.080451,0.807557,12.912062,4.456356,0.000000,0.531921
0,2,9,0,2,13,g,70.107428,63.236901,0.000117,0.015536,0.758842,5.396623,0.020203,0.000000,0.679207
1,2,9,1,2,13,g,79.520057,69.431790,0.009598,0.009223,0.712115,8.900383,0.025578,0.000000,0.431368
2,2,9,2,2,13,g,47.491618,32.426368,0.743221,0.014276,0.755901,12.866967,0.040393,0.000000,0.644492
3,2,9,3,2,13,g,23.149656,0.000000,2.163621,0.015231,3.428371,16.011020,0.045208,0.573107,0.913096
4,2,9,4,2,13,g,146.053864,0.000000,0.000225,0.011416,107.939133,9.783980,0.022993,27.770184,0.525931
5,2,9,5,2,13,g,91.728600,0.000000,0.000000,0.013030,4.286970,11.891680,0.033954,74.783947,0.719019
6,2,9,6,2,13,g,171.473740,0.000000,0.000000,0.012576,125.471920,12.049204,0.040566,33.375582,0.523892
7,2,9,7,2,13,g,174.615531,0.000000,0.000000,0.008889,163.952421,6.664549,0.581605,3.076571,0.331497
8,2,9,8,2,13,g,18.613092,0.000000,0.000000,0.005096,0.184562,6.529041,6.445540,0.000000,5.448854
9,2,9,9,2,13,g,89.275731,0.000000,0.000000,0.001615,0.000000,11.435850,0.001928,0.000000,77.836338
10,2,9,10,2,13,g,142.542356,0.000000,0.000000,0.007701,0.176695,141.396000,0.008646,0.000000,0.953314
11,2,9,11,2,13,g,163.384841,0.000000,0.000000,0.006483,1.000543,158.620615,0.027714,0.000000,3.729487
12,2,9,12,2,13,g,14.636961,0.000000,0.000000,1.895171,0.398405,10.411976,0.015595,0.000000,1.915813
13,2,9,13,2,13,g,210.161896,0.000000,0.000000,0.441810,0.443616,207.328671,0.023598,0.000000,1.924201
14,2,9,14,2,13,g,16.663758,0.000000,0.000000,0.096991,0.648440,11.124988,4.332557,0.000000,0.460782
15,2,9,15,2,13,g,31.188409,0.022199,0.103214,0.047971,10.953600,10.398827,3.706780,0.000000,5.955819
0,2,9,0,2,14,g,74.618569,68.876478,0.002435,0.019499,1.138280,4.275863,0.025729,0.000000,0.280286
1,2,9,1,2,14,g,84.799053,76.254758,0.000763,0.009439,1.066134,7.060897,0.022049,0.000000,0.385013
2,2,9,2,2,14,g,43.008029,30.160803,0.853114,0.012294,1.190743,10.143752,0.032304,0.000000,0.615020
3,2,9,3,2,14,g,23.406336,0.000000,1.832992,0.026116,4.262940,15.445407,0.077035,0.672158,1.089688
4,2,9,4,2,14,g,133.689543,0.000000,0.028678,0.009922,81.613640,8.259510,0.021814,43.365997,0.389981
5,2,9,5,2,14,g,90.930205,0.000000,0.000000,0.016398,1.261601,11.873424,0.037364,76.880829,0.860590
6,2,9,6,2,14,g,170.465172,0.000000,0.000000,0.014129,123.782243,10.159258,0.040408,35.716532,0.752602
7,2,9,7,2,14,g,144.071125,0.000000,0.000000,0.006504,118.346612,6.045384,0.014829,0.000000,19.657796
8,2,9,8,2,14,g,49.629864,0.000000,0.000000,0.006756,0.529720,5.286419,2.588692,0.000000,41.218276
9,2,9,9,2,14,g,61.128565,0.000000,0.000000,0.002576,0.311692,4.070319,0.009053,0.000000,56.734925
10,2,9,10,2,14,g,187.678056,0.000000,0.000000,0.005295,0.558055,176.042254,0.010952,0.000000,11.061500
11,2,9,11,2,14,g,141.775530,0.000000,0.000000,0.010704,1.727570,116.502647,0.033465,0.000000,23.501144
12,2,9,12,2,14,g,184.141537,0.000000,0.000000,0.463110,0.786271,181.512753,0.015594,0.000000,1.363809
13,2,9,13,2,14,g,13.912814,0.000000,0.000000,2.160715,1.083377,7.308362,0.083729,0.000000,3.276631
14,2,9,14,2,14,g,14.972341,0.000000,0.000000,0.518931,0.338722,9.705826,4.011771,0.000000,0.397091
15,2,9,15,2,14,g,25.757235,6.308613,0.025374,0.064729,0.954432,9.165346,3.760258,0.000000,5.478482
0,2,9,0,2,15,g,69.115330,62.273919,0.000387,0.017296,1.408871,5.120378,0.019437,0.049499,0.225541
1,2,9,1,2,15,g,76.488493,66.501680,0.002051,0.008395,1.485693,7.917435,0.024313,0.118400,0.430525
2,2,9,2,2,15,g,44.204716,29.498425,0.918042,0.010203,1.930035,11.232972,0.035612,0.116658,0.462769
3,2,9,3,2,15,g,25.830136,0.453556,2.225101,0.016740,5.633036,15.290960,0.063550,1.380941,0.766252
4,2,9,4,2,15,g,139.348196,0.392150,0.005094,0.009417,84.498041,8.770226,0.023671,45.198725,0.450873
5,2,9,5,2,15,g,97.021233,0.639514,0.001752,0.013048,4.664248,10.550910,0.043220,80.385907,0.722634
